'en'|'#'|'#'|0|1456342038
'en'|'# Questions'|'# Questions'|NULL|1456675888
'en'|'% Complete'|'% Complete'|0|1456343955
'en'|'A problem ocurred when tried to save you data. Please try again.'|'A problem ocurred when tried to save you data. Please try again.'|0|1456341208
'en'|'Action if the maximum is reached'|'Action if the maximum is reached'|0|1456606968
'en'|'Actions'|'Actions'|NULL|1456342039
'en'|'Active'|'Active'|NULL|1456342038
'en'|'Add Field'|'Add Field'|0|1456606996
'en'|'Add Language'|'Add Language'|NULL|1456344025
'en'|'Add a new Course Grouping'|'Add a new Course Grouping'|0|1456607108
'en'|'Add/Change file'|'Add/Change file'|0|1456343954
'en'|'Address Book'|'Address Book'|0|1456343954
'en'|'Address Line 1'|'Address Line 1'|NULL|1456343954
'en'|'Address Line 2'|'Address Line 2'|NULL|1456343954
'en'|'Administation'|'Administation'|0|1456341203
'en'|'Administrator'|'Administrator'|0|1456675873
'en'|'Admittance Type'|'Admittance Type'|0|1456606961
'en'|'Advertising'|'Advertising'|NULL|1456343720
'en'|'All'|'All'|0|1456675890
'en'|'Allow anonimous users to create an account'|'Allow anonimous users to create an account'|0|1456344464
'en'|'Allow the user to select the the classes order'|'Allow the user to select the the classes order'|0|1456607108
'en'|'Allow user to be a class/lesson instructor'|'Allow user to be a class/lesson instructor'|0|1456343783
'en'|'Allow user to be a course coordinator'|'Allow user to be a course coordinator'|0|1456343783
'en'|'Announcements'|'Announcements'|0|1456675881
'en'|'Are you sure?'|'Are you sure?'|0|1456341204
'en'|'Attach Files'|'Attach Files'|0|1456675884
'en'|'Attendee'|'Attendee'|0|1456675890
'en'|'Attendence'|'Attendence'|NULL|1456675886
'en'|'Author'|'Author'|0|1456675887
'en'|'Back'|'Back'|0|1456340941
'en'|'Behavior'|'Behavior'|0|1456343783
'en'|'Bibliography'|'Bibliography'|NULL|1456675886
'en'|'Block Admittance'|'Block Admittance'|0|1456606968
'en'|'Book'|'Book'|0|1456675887
'en'|'Books:'|'Books:'|0|1456675888
'en'|'Calendar'|'Calendar'|0|1456675881
'en'|'Campus:'|'Campus:'|0|1456675889
'en'|'Can be Coordinator?'|'Can be Coordinator?'|0|1456343783
'en'|'Can be Instructor?'|'Can be Instructor?'|0|1456343783
'en'|'Cancel'|'Cancel'|0|1456606995
'en'|'Certificate of Completion'|'Certificate of Completion'|0|1456604458
'en'|'Chat not avaliable'|'Chat not avaliable'|0|1456675890
'en'|'City'|'City'|NULL|1456343955
'en'|'Class Role'|'Class Role'|0|1456342039
'en'|'Classes'|'Classes'|0|1456342037
'en'|'Classes Disponible'|'Classes Disponible'|0|1456607108
'en'|'Click to access'|'Click to access'|0|1456340938
'en'|'Close'|'Close'|0|1456342037
'en'|'Closed'|'Closed'|0|1456675886
'en'|'Code'|'Code'|0|1456344025
'en'|'Communication'|'Communication'|0|1456341203
'en'|'Completed'|'Completed'|NULL|1456675886
'en'|'Config and edit user info'|'Config and edit user info'|0|1456343782
'en'|'Confirm'|'Confirm'|0|1456341204
'en'|'Content'|'Content'|0|1456341203
'en'|'Coordinator'|'Coordinator'|NULL|1456607053
'en'|'Country'|'Country'|0|1456343954
'en'|'Course'|'Course'|NULL|1456675887
'en'|'Course Duration'|'Course Duration'|0|1456607018
'en'|'Course Format'|'Course Format'|0|1456606965
'en'|'Course Grouping'|'Course Grouping'|0|1456606995
'en'|'Course Periods'|'Course Periods'|0|1456607109
'en'|'Course Prices'|'Course Prices'|0|1456607019
'en'|'Course Role'|'Course Role'|0|1456342038
'en'|'Courses'|'Courses'|0|1456342037
'en'|'Create Block'|'Create Block'|0|1456607108
'en'|'Create Class'|'Create Class'|0|1456607108
'en'|'Create Enrollment Guidelines'|'Create Enrollment Guidelines'|0|1456606965
'en'|'Create Period'|'Create Period'|0|1456606966
'en'|'Create Role'|'Create Role'|0|1456342037
'en'|'Create a new Departament'|'Create a new Departament'|0|1456607053
'en'|'Create a new course'|'Create a new course'|0|1456607018
'en'|'Create an account'|'Create an account'|0|1456602683
'en'|'Created with success'|'Created with success'|0|1456606995
'en'|'Credit Hours:'|'Credit Hours:'|0|1456675888
